#{"t_start": 1679636776.6090505, "env_id": null}
r,l,t
-2470,2500,1886.488158
-2470,2500,1928.187627
-2470,2500,1969.838708
-2470,2500,2011.540746
-2470,2500,2053.260381
-2470,2500,2094.928272
-2470,2500,2136.626845
-2470,2500,2178.291621
-2470,2500,2219.958256
-2470,2500,2261.624912
-2470,2500,2303.324617
-2470,2500,2345.011172
-2470,2500,2386.678511
-2470,2500,2428.375775
-2470,2500,2470.076979
-2470,2500,2511.774866
-2470,2500,2553.443671
-2177,2500,2595.107688
-2470,2500,2636.794598
-2470,2500,2678.458646
-2470,2500,2720.126308
-2470,2500,2761.791975
-2470,2500,2803.490313
-2470,2500,2845.15862
-2440,2500,2886.808874
-2470,2500,2928.476733
-2470,2500,2970.207847
-2470,2500,3011.876266
-2470,2500,3053.540419
-2470,2500,3095.242406
-2470,2500,3136.905443
-2470,2500,3178.60548
-2470,2500,3220.292118
-2470,2500,3262.044987
-2470,2500,3303.711618
-2470,2500,3345.410719
-2470,2500,3387.0774
-2470,2500,3428.743174
-2470,2500,3470.409148
-2470,2500,3512.075153
-2470,2500,3553.728332
-2470,2500,3595.393639
-2470,2500,3637.059929
-2470,2500,3678.726746
-2470,2500,3720.392297
-2470,2500,3762.092163
-2470,2500,3803.758297
-2470,2500,3845.411206
-2470,2500,3887.121392
-2470,2500,3928.778172
-2450,2500,3970.445291
-2470,2500,4012.11187
-2470,2500,4053.774409
-2470,2500,4095.473645
-2470,2500,4137.127755
-2470,2500,4178.841898
-2470,2500,4220.507537
-2470,2500,4262.176475
-2470,2500,4303.840218
-2470,2500,4345.507573
-2470,2500,4387.173591
-2470,2500,4428.8303
-2470,2500,4470.545888
-2470,2500,4512.212419
-2470,2500,4553.878621
-2470,2500,4595.578011
-2470,2500,4637.24413
-2470,2500,4678.910184
-2460,2500,4720.57602
-2470,2500,4762.276147
-2470,2500,4803.928915
-2470,2500,4845.59932
-2175,2500,4887.261202
-2470,2500,4928.927126
-2440,2500,4970.629019
-2470,2500,5012.29275
-2470,2500,5053.943963
-2470,2500,5095.64474
-2470,2500,5137.311094
-2470,2500,5151.265493
-2470,2500,5168.435381
-2470,2500,5210.088768
-2470,2500,5251.750912
-2470,2500,5293.417821
-2470,2500,5335.083385
-2376,2500,5376.750233
-2470,2500,5418.449679
-2197,2500,5460.102674
-2470,2500,5501.818123
-2470,2500,5543.539241
-2470,2500,5585.205111
-2470,2500,5626.8711
-2470,2500,5668.53765
-2470,2500,5710.204272
-2470,2500,5751.903224
